,Bio,Profession,Gender
5336,"_ is the co-found of cOyate creations, cultural arts studio, consulting services, and spiritual guidance. _ _ helped pioneer the first Alternative School in Santa Clara County, “The Foundry School”, which was recognized in Washington, D.C. as a model of an education foundation that met and exceeded all others in the nation.",teacher,M
5337,"_ received _ BS in Neuroscience from the University of California, Los Angeles, a MSc in Neuroscience from the University of Edinburgh, Scotland, a PhD in Neuroscience from the University of Southern California, and completed _ postdoctoral training at the Yale School of Medicine. _ background is in clinical and cognitive brain imaging. _ current focus is substance abuse treatment research including mindfulness-based therapies. _ work uses brain imaging methods to better understand and potentially change the neural mechanisms and cognitive processes related to addictions. _ work also tests smartphone app-based treatments for addictions. Education & Training",professor,F
5338,"_ is also a member of the IU Simon Cancer Center, the IU Center for Computational Biology and Bioinformatics, and the Indiana Institute for Personalized Medicine. _ research focuses on the use of next-generation sequencing in translational oncology. In particular, _ laboratory concentrates on the use of next-generation sequencing for drug development and pharmacogenomics, and for understanding mutational causes of cancer. In addition, a major focus of _ work is the integration of next-generation sequencing into cancer clinical trials, with a special focus on using genomics for precision medicine.",professor,M
5339,"_ is the co-founder and co-editor of Ahorn Magazine, an online publication about contemporary photography. Dedicated to highlighting the work of emerging photographers, Ahorn is also an important platform for original content, presenting interviews, essays, book reviews and more. _ _'s photographs have been published in several publications and _ work was recently exhibited in Berlin and Rome. Selections: Andrea Diefenbach and Birney Imes",photographer,F
5340,"Boyd School of Law at the University of Nevada Las Vegas. Previously, _ studied at Stanford Law School, where _ received _ second doctoral degree. In _ research, _ focuses on intellectual property and issues at the intersection of intellectual property and private international law/conflict of laws. Professor _ has conducted comparative and empirical work in _ areas of interest using _ extensive research experience from law schools in the U.S. and Europe, _ expertise from the European Union and European governments, and _ foreign language abilities.",professor,F
5341,"_ graduated from St. Lawrence with a B.S. in biology, obtained _ medical degree from the Mount Sinai School of Medicine, and completed _ residency in orthopedic surgery at the Mount Sinai Hospital. _ also completed a fellowship in sports medicine at the University of Chicago. Dr. _ is a clinical instructor at the Mount Sinai School of Medicine and a partner at Manhattan Orthopedics and Sports Medicine Group. _ is also the director of orthopedics at St. Barnabas Hospital in Bronx, N.Y. Dr. _ performs the newest techniques for knee, shoulder and hip arthroscopy and reconstructions. A triathlete, _ is medical director for the New York City Triathlon. _ has recently written a book, Triathlon Anatomy, published by Human Kinetics 2102.",surgeon,M
5342,"_ works as a third grade teacher, but also teaches coupon classes in _ area. _ has written for many blogs including Dashing Dish and Faith &Finance. _ was also featured on KBTX as “The Coupon Queen” and was interview on 89.1 KEOS in a segment called “A Family Affair” where _ was able to discuss finances in a marriage and home. _ has also had the opportunity to speak on Dave Ramsey’s radio show about teaching Financial Peace University. _ lives in Bryan with _ husband Greg and _ two sons, Eli and Drew.",teacher,F
5343,"_ graduated with honors from East Tennessee State University, Quillen-dishner College Of Medicine in 2004. Having more than 12 years of diverse experiences, especially in NURSE PRACTITIONER, _ _ _ affiliates with many hospitals including Russell County Medical Center, Wellmont Bristol Regional Medical Center, Clinch Valley Medical Center, and cooperates with other doctors and specialists in medical group C Health Pc. Call _ _ _ on phone number (276) 889-3700 for more information and advises or to book an appointment.",nurse,F
5344,"Humana HMO, Humana Bronze, and Humana Catastrophic are among the insurance carriers that Dr. _ accepts. _ attended medical school at Saba University School of Medicine. Dr. _ completed _ residency training at a hospital affiliated with the University of Missouri-Kansas City (UMKC). Dr. _ is professionally affiliated with Olathe Health.",physician,F
5345,"Prior to coming to the University of South Carolina in August 2016, _ was a professor of international management at the MYRA School of Business in Mysore (India).",professor,M
5346,"In 2013, _ began _ work with whistleblowers. While at Morgan Verkamp, _. _ has worked on multiple government contract and health care fraud cases. _ primary focus is case management, document review, and trial preparation. Prior to 2013, _. _ worked for three Cincinnati-area firms, focusing on litigation and transactional law.",paralegal,F
5347,"_ compositions are comprised of both abstract and concrete recurring motifs, often stylized beyond immediate recognition. In other works, _ creates alternate visualizations, for example, of sounds or nature but _ is also known for usage of translucent layers.",painter,M
5348,"_. _ practices medicine in Blawnox, PA and 2 other locations and specializes in Gynecology. _. _ is affiliated with Magee Womens Hospital Of UPMC.",physician,F
5349,"_ regularly represents owners, developers and investors with respect to real estate acquisitions, sales, commercial and residential development and incentives, financing, construction and leasing (office, retail, industrial and residential).",attorney,M
5350,"Sc. magna cum laude (_ 59)) and one of the most highly recognized porn performers. _ has used _ work to “promote sexual literacy and tolerance” (Nagle 275). _ says, of _ reasons for being in pornography:",nurse,F
5351,"_ is committed to treating _ patients with precision and compassion. With _ dedication to excellence in healthcare, _ represents the mission and vision of Kirby Medical Center, and _ takes great pride in serving the local community.",nurse,F
5352,"_ earned _ BFA from Longwood University in 2016. _ work explores the relationship between people and place. _ images often ask questions of community, class division and the impact of time.",photographer,F
5353,"Areas of particular interest for Dr. _ include intensive care, internal medicine, and lung problems. Blue Shield, Health Net, and Blue Cross/Blue Shield are among the insurance carriers that Dr. _ takes. Dr. _ attended medical school at the University of Southern California (USC), Keck School of Medicine. _ training includes a residency program at Naval Medical Center San Diego. _ professional affiliations include Scripps Memorial Hospital La Jolla, Scripps Clinic Torrey Pines, and Scripps Green Hospital. Dr. _ has a closed panel.",physician,M
5354,"_ has been a FOSS enthusiast ever since installing Linux for the first time in the late ’90’s. _ loves building communities and is an organizer of PyOhio, ClePy, and the Cleveland API Meetup.",software_engineer,M
5355,"_ has practiced in the fields of workers compensation and employment law, including workplace discrimination and wrongful termination. _ is a frequent contributor to Liberty magazine and editsReligiousLiberty.TV, an independent website dedicated to celebrating liberty of conscience. _. _ is a favorite guest on Liberty’s weekly radio show, “Lifequest Liberty.”",attorney,M
5356,"_ has an extensive background in system architecture, planning, designing, developing and leading technology projects. _ has been part of several successful Guidewire implementations for medium and large insurance companies. _ is an analytical and a conceptual thinker who effectively partners with clients and business subject matter experts to assess opportunities & limitations, facilitate strategic decisions and drive successful implementations.",architect,M
5357,"_ also serves as director of the Johns Hopkins University Evidence-Based Practice Center and is a member of the core faculty in the Center for Clinical Trials and Evidence Synthesis at the university’s Bloomberg School of Public Health. _ research focuses on evidence-based health care and evidence-based research. _ conducts systematic reviews that are used to develop clinical practice guidelines and to inform other health decisions. _ served on the National Academies Committee on Endocrine-Related Low-Dose Toxicity and the Committee on Gulf War and Health: Treatment of Chronic Multisymptom Illness. Dr. _ received _ MSc in health sciences from the University of Waterloo, Ontario, and _ PhD in epidemiology from the Johns Hopkins University Bloomberg School of Public Health.",professor,F
5358,"_ is an internationally recognized speaker and advisor on growth, strategy, creativity, and innovation. _ is the principal in the firm Strategy Lab Inc. and has consulted with executives from many Fortune 500 companies. _ is also the author of Hope: How Triumphant Leaders Create the Future. _ can be reached at a-razeghi@kellogg.northwestern.edu.",professor,M
5359,"Prior to joining the Albania practice _ has worked with Deloitte in the United States since 2004 specializing in international taxation. During _ presence in Albania and Kosova _ has performed several tax due diligence, tax review, tax consulting and compliance services for local and foreign companies. _ is also a member of the American Association of Certified Public Accountants.",accountant,M
5360,"_ will deliver University of Rochester's 2017 Martin Luther King, Jr. Commemorative Address on Friday, January 27. The event is free and open to the public and starts at 6pm in the Strong Auditorium on the River Campus.",professor,F
5361,"_ has been involved with embedded systems in the automotive industry for well over 25 years, with a particular interest in software architecture, and software development processes. _ experience includes Powertrain Control Systems at Ford Motor Company, and Vehicle Stability Control Systems at TRW Automotive, and a wide variety of automotive Infotainment, Telematics and Instrument Cluster applications. _ has served in a consulting role for many new automotive projects globally, frequently presents at professional organization events, and has delivered many Operating Systems and Development Tools training classes worldwide. Who Should Attend",architect,M
5362,"Formerly a journalist with Asiaweek, and briefly with RTHK, _ began teaching journalism more than 20 years ago and specialises in journalism skills — reporting and writing news of different kinds — and comparative and international news. _ research focuses on the East and Southeast Asian region, particularly Cambodia.",professor,F
5363,"_ has published two volumes of poetry. _ has a degree in English Literature and Language and translation from University of Calcutta and Jadavpur University, Center for translation of Indian Literatures respectively. _ is an associate editor of the Bangla little magazine ‘Ashtray’ and is a contributor at various academic and literary journals and magazines. Currently _ is involved in a more journalistic research and writing.",poet,F
5364,"_ multiracial and cultural background make this super model personable and widely relatable amongst many nations. _’s bloodline consists of African-American, French, German, Irish, Puerto Rican, and Native American ancestry that is showcased in a unique blend of exotic features such as stunning big brown eyes and a honey golden complexion topped with supple full lips that would make Angelina Jolie jealous.",model,F
5365,"Dr. _ _ practices at CSM Medicentre in Krishna Nagar, Delhi,Eye Clinic in Krishna Nagar, Delhi and CSM Medicentre in Krishna Nagar, Delhi. _ completed BDS from Divya Jypti College Of Medical Sciences in 2009. _ is a member of Indian Dental Association and Indian Orthodontic Society. Some of the services provided by the doctor are: Dentofacial Orthopedics,Acrylic Partial Denture,Artificial Teeth,Complete/Partial Dentures Fixing and BPS Dentures Fixing etc.",surgeon,M
5366,"After 33 years, _ decided to pursue _ true passion – teaching others about living a faith based life through _ latest book. _ has experience teaching Bible studies and Sunday school and currently resides in central North Carolina with _ husband, Doug.",pastor,F
5367,"_ research interests include Dalit and Indigenous Literatures, Women’s Writings, Postcolonial Studies, and Film Studies. _ has published articles in Indian and international academic journals. _ is also a creative writer and a translator.",professor,F
5368,"_ began practicing with the firm in 1987, becoming partner in 1993. During nearly three decades, _ has built a thriving practice founded on workers’ compensation defense litigation. As a senior member of the Workers’ Compensation Practice Group, _ brings extensive experience in all aspects of litigation, including trials and appeals, defending and representing employers and insurance carriers in both Kansas and Missouri. _’s work hasn’t gone unnoticed, having earned recognition from Ingram’s magazine and Martindale-Hubbell®.",attorney,M
5369,"_ research and teaching lie at the intersection of global development, China’s political economy, and adaptive processes of change. _ book, How China Escaped the Poverty Trap (Cornell University Press, Series in Political Economy, 2016) lays the foundation for _ research agenda. Winner of the 2017 Peter Katzenstein Book Prize, it was described by the prize committee as “a field-shifting move to non-linear complex processes”. Elsewhere, Foreign Affairs named it among the “Best of Books 2017”. Prior to joining Michigan, _ _ was on the faculty of Columbia University SIPA, teaching political and economic development. _ received _ PhD from Stanford University.",professor,F
5370,"_ maintains clinical practices in Santa Fe and New York City. On Peace Prayer Day 2002, Yogi Bhajan honored Dr. _ with the Conscious Healer and Humanitarian Award. Contact _ at www.lightharmonics.com for energy medicine training seminars.",physician,F
5371,"_ has been a part of the research wing of ET for more than a decade and has written extensively on Indian companies and businesses. Telling insightful stories from data is _ forte with corporate governance, corporate social responsibility and gender being _ prime areas of interest. _ has been a Fulbright Humphrey Fellow as well as a Chevening Fellow. During _ Fullbright fellowship, _ worked with the World Bank and the UNDP and also collaborated on research published in the Brookings Institute. _ has a PhD from TISS and is a qualified Company Secretary, Cost Accountant & Bachelors of Law. _ graduated in Psychology.",journalist,F
5372,_ has been programming interactive 3D graphics for more than ten years and has been using DirectX since v5. _ is the author of three bestselling books on DirectX and lives in San Diego.,software_engineer,M
5373,_ holds a PhD from Northwestern University in the field of molecular biology and human genetics and a Master of Arts in Jewish Professional Studies from Spertus Institute for Jewish Learning and Leadership.,teacher,F
5374,"_ holds B.E. degree in Civil Engineering (M.B.M. Engineering College, Jodhpur), M.Tech. degree in Civil Engineering (Indian Institute of Technology Roorkee), and a Ph.D. degree (Indian Institute of Technology Delhi) in Civil Engineering. _ has also held the position of Assistant Professor at the Govt. College of Engineering and Technology, Bikaner for three and half years teaching Civil Engineering to the undergraduate students. Dr. _ teaches courses on steel structures’ design and building construction at the undergraduate level.",professor,M
5375,"While studying the art, science and mathematics of photography at Brooks Institute, _ happened upon _ first CrossFit gym, CrossFit Pacific Coast. Since that fateful introduction in 2009, _ has become a passionate competitor and follower of the paleo diet. In 2012, a few months before graduation, _ fell in love with the softness that can only be found in yoga.",photographer,F
5376,"_ music is influenced by Jazz, Ambient, World, and the Classics. Performing across the USA for over 20 years on saxophone and other woodwind instruments, _ now focuses on creating music with software and various electronic instruments, such as the Eigenharp and EWI.",composer,M
5377,"_ has a Master degree of Arts from the Bulgarian National Music Academy. _ studied cinematography in the Bulgarian National Film Academy and the University of Southern California (USC). From 1993 until 2002 _ was a news-reporter for the Evening news in Bulgarian National Television. In 2003 together with _ friend - the director Dimitar Kotzev-Shosho, _ founded the production company SPOTLIGHT foe which _ is producing and directing historic and music-documentaries.",filmmaker,M
5378,"Prior to working at Yerman & Jia, _ spent five years working as an e-discovery attorney throughout New York City on a wide array of large scale litigation matters. _ worked on many large commercial litigation matters concerning contract disputes, regulatory investigations into large corporate mergers, and general corporate litigation. _ has also worked with large pharmaceutical organizations during federal regulatory compliance matters helping the clients establish proof of their compliance with various marketing regulations. From 2012 through early 2014 _ worked as part of a large legal team representing the government in its claims of fraud against 16 of the largest banks connected with the 2008 financial crisis.",attorney,M
5379,"_ practice focuses on representing individuals who have been injured by dangerous drugs and medical devices, medical malpractice, and other catastrophic personal injuries. _ is admitted to practice in federal and state courts in New Jersey and Pennsylvania, as well as the U.S. Court of Appeals, Third Circuit. After earning _ J.D. from Temple University School of Law, _ clerked for the Honorable Carol _. Higbee, J.A.D., a role in which _ worked on several high-profile pharmaceutical and medical device matters.",attorney,F
5380,"_ received _ Ph.D. in Electrical Engineering and Computer Science from MIT in 2005 and a B.S. with honors from Caltech in 1998. _ research focuses on machine learning, graphical models, and algorithms for exact and approximate inference, with applications to areas including sensor networks, computer vision, data mining, and computational biology. _ papers have received a number of awards, at conferences including NIPS, IPSN, and AIStats.",professor,M
5381,"_ has also done work for Guess?, Yamamay, and Liu-Jo. _ was discovered by Cindy Kauanui of Jet Set Models after appearing in Outside magazine. _ has since been on multiple covers of Cosmopolitan, Glamour and Cover magazines. In addition to working with world class photographers on _ Sports Illustrated shoots, _ was the object/subject of several Joanne Gair body painting works in these editions.",model,F
5382,"As an authority in natural medicines, _ is known as one of the world’s top experts in the formulation of dietary supplements and their scientific substantiation, as well as in the clinical validation of natural products. _ has formulated and developed hundreds of complete nutritional lines, products and patents for global brands including Walmart, Sam’s Club and General Mills. _ expertise includes the translation of scientific research into consumer-friendly messaging. Dr. _ provides holistic care using natural therapies for the prevention and treatment of cardiovascular disease, cancer, diabetes and obesity. The founder of Simple Health Value, _ is leading the revolution toward simple everyday actions as the foundation of overall health and wellness.",physician,M
5383,"_ diverse photography projects have been exhibited as installations, exhibitions and screenings at festivals and galleries worldwide including: the United Nations; Musée de l'Armée at Les Invalides, Paris; the Portland Museum of Art; the Royal Ontario Museum; and the Art Gallery of Ontario. _'s numerous awards and include a Guggenheim Fellowship, the Lange-Taylor Prize, the Duke and Duchess of York Prize, two World Press Photo Awards, and PDN's 30. _ was named an Emerging Photo Pioneer by American Photo, and was a finalist for the prestigious 2014 Scotiabank Photography Award. _ is a member of the acclaimed VII Photo agency and is represented by Circuit Gallery in Toronto.",photographer,M
5384,"_ received B.S. degree in computer engineering from Institute of Engineering and Technology, China (1983), and M.S. (1988) and Ph.D. (1997) degrees in computer science from the National University of Defense Technology (NUDT), China. _ was a visiting professor and a special lecturer in the College of Computing Sciences, New Jersey Institute of Technology, USA (1999-2002) and a lecturer, an associate professor and a full professor at NUDT (1988-2000). _ has published about seventy research papers, five books (four in Chinese and one in English) and one book chapter on object-oriented programming, distributed and collaborative systems, computer architecture and intelligent systems.",professor,M
5385,_ specializes in historic preservation and has written and lectured extensively on the history and architecture of southeastern Pennsylvania. In 2004 _ published Mastering Tradition: the Residential Architecture of John Russell Pope (Acanthus Press).,architect,M
5386,"_ is the chair of the program on the study of the humanities in Africa and a trustee of the District Six Museum Foundation in Cape Town. _ work has been featured in the journals Current Writing, History and Theory, History in Africa, Kronos, and The South African Historical Journal.",professor,M
5387,_ has starred in three cable television specials and two feature films and is best known for _ role on the TV comedy 'Anything But Love.' _ life and career are profiled.,comedian,M
5388,"_ received _ Ph.D. in electrical engineering from Stanford University and _ M.Eng. in electrical engineering and computer science from MIT. Before attending Stanford, _ worked at Intel as a logic and circuit designer on the Itanium and Pentium II processors. Since then, _ has consulted at Sun Microsystems, Hewlett-Packard, Evans & Sutherland, and other design companies. _'s passions include teaching, building chips, and exploring the outdoors. When _ is not at work, _ can usually be found hiking, mountaineering, or rock climbing. _ particularly enjoys hiking with _ son, Abraham, who was born at the start of this book project. _ holds about a dozen patents and is the author of three other textbooks on chip design, as well as two guidebooks to the Southern California mountains.",professor,M
5389,"_. _ _ represents both public and private sector clients in employment related lawsuits before state and federal courts at both the trial court and appellate levels. _. _ _ also represents employers with such matters as administrative agency and board appeals, arbitrations, and provides general advice and counsel.",attorney,F
5390,"Dr. _ _ owns two practices, Confident Expressions in Columbus, Ohio and Maysville Dental located in Zanesville, Ohio. Dr. _ _ has served on an advisory committee for the American Dental Association. _ provides dental education to local schools, after-school programs and daycares and participates in dental charities such as Dental Options and Give Kids a Smile.� Dr. _ _ received a BA in English Literature from Saint Mary�s College of Notre Dame before graduating from The Ohio State University College of Dentistry in 2008. Dr. _ _ also performed chemistry research at the University of Wyoming and _ research is published in The Journal of Organic Chemistry.",dentist,F
5391,_ is currently receiving financial support through MiCrédito’s EduCrédit program. _ is using the funds from _ loan to pursue a Master’s degree in Clinical Psychology. _ goal is to open _ own practice one day. _ is happy to be working with MiCrédito and Kiva because these organizations support young people like _ who have goals and a drive to succeed.,psychologist,F
5392,"_. _ _ _'s NPI Number is #1457538894 and has been listed in the NPI registry for 10 years. _. _ _ _'s practice location is listed as: 627 North Washington St Baltimore, MD 21205 and can be reached via phone at (410) 955-7090.",physician,F
5393,_ obtained _ master’s degree in child developmental psychology from the University of Virginia and received _ doctoral degree in clinical psychology from the University of North Carolina at Chapel Hill. Dr. _ completed _ clinical internship at George Washington University and a postdoctoral fellowship in the Developmental Epidemiology Program of Duke University Medical Center.,psychologist,F
5394,"_ practice is concentrated in the areas of Personal Injury, Workers Compensation and Social Security. In contrast to other firms that practice in these areas, _ has actually tried law suits not just to Administrative Law Judges, but also in State Supreme, County Court and City Court.",attorney,M
5395,_ is the PI of a clinical trial of metformin in Alzheimer's disease prevention and is co-investigators in several studies exploring the relation of insulin resistance with cognition.,professor,M
5396,"_ is the division lead for family medicine obstetrics within the department of family and community medicine at Sunnybrook Health Sciences Centre, where _ is also the interim chief for the department of family and community medicine. _ portfolio also includes the education scholarship lead and the director of mentorship and continuing professional development for the division of family medicine obstetrics at Sunnybrook.",professor,F
5397,"Martinez put _ on the stand again Tuesday and Wednesday to refute the defense claims that Arias suffers from post-traumatic stress disorder, and to discredit the defense psychologists who said that Arias suffered sexual, physical and emotional abuse at the hands of the man _ killed, Travis Alexander.",psychologist,F
5398,"_ focuses _ practice on complex medical malpractice litigation working on behalf of victims of brain injury and other catastrophic injuries. _ is particularly passionate about seeking justice on behalf of children and mothers across the United States who have suffered birth injuries. Teaming with Jack Beam and Matthew Patterson, _ has fought to hold hospitals, doctors, and nurses accountable for their mistakes, and has successfully helped numerous victims of negligence in recovering the compensation they require for their tremendous special needs.",attorney,M
5399,"_. _ practices medicine in Gilbert, AZ and specializes in Family Medicine. _. _ is affiliated with Mercy Gilbert Medical Center. _. _ speaks English and Spanish.",physician,F
5400,"_ has a B.Sc. and M. of Nursing (NP Stream). _ lives in Sussex with _ husband and they have two sons. _ is active in the community and currently a Board Member at the Potash Corp Civic Center, on the Dairy Town Basketball Committee and a Board Member of the Sussex Area Community Foundation.",nurse,F
5401,"_ research focus is spatial analysis applied to human health. _ received _ PhD. from the Joint Doctoral Program in Geography of San Diego State University / University of California, Santa Barbara, holds an M.A. in Geography from , San Diego State University, and a B.A. in Geography, The State University of New York at Buffalo. Dr. _ has received both NSF and NIH funding for _ research on dengue fever transmission. _ has been an instructor of previous CSISS workshops on spatial pattern analysis in a GIS environment and _ developed laboratory materials for a Spatial Perspectives on Analysis for Curriculum Enhancement (SPACE) workshop. In 2004 _ was a laboratory instructor at The Vespucci Initiative for the Advancement of Geographic Information Science's Summer Institute in Florence, Italy. More information about _ is available at: http://www.geog.buffalo.edu/people/ .",professor,M
5402,"_ has worked with students K-12 in both small and large school districts in Texas. Currently, _ is serving as a school library representative-at-large for the Texas Library Association. _ can be reached via Twitter @yabooksandmore or email at nbates@nisdtx.org",teacher,F
5403,"_ holds a Ph.D. in Electrical Engineering from Wright State University, Dayton, Ohio (2007). _ research interests include VLSI and FPGA implementation and measurement for wideband communications and digital microwave receivers, Computer-aided design, verification and testing of VLSI circuits and systems, specifically in digital, mixed-signal IC, and system-on-a-chip (SoC) and Nanoelectronics. _ contribution in this field has been demonstrated by several IEEE publications. Dr. _ was the main graduate project assistant for the Receiver-On-a-Chip(ROC) project funded by Air Force Research Laboratory(AFRL). At CSUF, _ established a state-of-the-art VLSI lab and developed new courses in VLSI and Nanoelectronics.",professor,M
5404,"_ has published articles on Gertrude Stein and Lyn Hejinian in HOW2, no. 3, and _ article on Daphne Marlatt and Betsy Warlands collaborative poetry appeared in the Summer 2000 issue of Contemporary Literature. _ is currently at work on a book manuscript that traces a tradition of American womens experimental writing from Gertrude Stein to the present.",professor,F
5405,"_’s biggest passion is people who are passionate about the thing they do. _ _ is the perfect example. _ is passionate about photography and wants to share that with everyone who has the fortunate chance to enjoy _ work. Striving to create visual stories with _ work, _ likes to work with models that are expressive and willing to give that little bit of extra that it takes to make the difference between good and great. Models such as Rob Neff and Shawn Stingel. A Mans Touch is _ _ second project with the two sexy male models, and it is probably because of that that the set has such a genuine character.",photographer,M
5406,"_ is a 1982 graduate cum laude of the University of Minnesota Law School. Prior to law school _ spent two years in the Peace Corps in Ecuador, South America. _. _ holds an ""A-V"" rating from Martindale-Hubbell and is listed in their Directory of Preeminent Lawyers. Minneapolis-St. Paul Magazine and Twin Cities Business Monthly have recognized _ as a ""Super Lawyer"" in immigration law. _ has received the AILA National Presidential Commendation for ""creative and tireless advocacy"" on behalf of immigrants. _ is an Emeritus Trustee of the American Immigration Law Foundation. _ has spoken and written for various immigration law seminars.",attorney,M
5407,_ responsibilities include litigation support and handling IT issues for the legal department. _ is a member of the Paralegal Division of the N.C. Bar ...,paralegal,M
5408,"Dr. _ is a graduate of Canadian Memorial Chiropractic College and the University of Waterloo, B.Sc. honors Kinesiology, both in Ontario, Canada. Currently _ is a faculty member of Western States Chiropractic - Portland Oregon sculpting young Chiropractic interns with _ guidance and mentorship.",chiropractor,M
5409,"_ is professionally affiliated with Nicklaus Children's Hospital. _ attended medical school at Industrial University of Santander School of Medicine. Dr. _ is in-network for several insurance carriers, including Blue Cross Blue Shield EPO, Blue Cross Blue Shield Bronze, and Blue Cross Blue Shield HMO.",physician,M
5410,"_ graduated with honors in 1996. Having more than 21 years of diverse experiences, especially in NURSE PRACTITIONER, _ _ _ affiliates with many hospitals including Baptist Memorial Hospital Union County, North Mississippi Medical Center, and cooperates with other doctors and specialists in many medical groups including Access Family Health Services, Inc., Northeast Mental Health-mental Retardation Commission, Urology Professional Assoc. Call _ _ _ on phone number (662) 528-4349 for more information and advises or to book an appointment.",nurse,F
5411,"Formerly _ was president of _ denomination and president of the Czech Republic Ecumenical Council of Churches. _ also teaches Practical Theology and Missiology at the Evangelical Theological Seminary, Prague.",pastor,M
5412,"_ also is an assistant clinical professor of clinical psychology at The George Washington University Professional Psychology Program. _ received a doctorate in clinical psychology from Chestnut Hill College and completed _ pre-doctoral internship at the Center for Multicultural Training in Psychology at Boston Medical Center, along with a post-doctoral fellowship at The George Washington University Professional Psychology Program. Prior to becoming director of the Caritas Counseling Center, Dr. _ was a member of the residential treatment staff of Saint Luke Institute. _ research and clinical interests include issues related to multicultural diversity, the intersection of spirituality and psychology, social justice and wellness promotion.",psychologist,F
5413,"_. _ practices medicine in Mansfield, OH and 1 other location and specializes in Cardiovascular Disease. _. _ is affiliated with Samaritan Regional Health System, Bucyrus Community Hospital, Medcentral Mansfield Hospital and Galion Community Hospital.",physician,F
5414,"_ practices in Lebanon, New Hampshire and has the professional credentials of MD. The NPI Number for Dr. _ _ _ is 1417981044 and _ holds a License No. 4253 (New Hampshire).",physician,M
5415,"_ most recent publication is “Building a community Among Early Arab Immigrants in Milwaukee, 1890s -1960s,” Wisconsin Magazine of History 96 (Summer 2013). _ is currently revising _ book manuscript, called Dogma of Womanhood and Feminism among American Missionaries and Palestinian Between 1880s and 1940s.",professor,F
5416,"_ specializes in general urology, benign prostatic hypertrophy, overactive bladder and genetics. Dr. _ completed _ residency and internship at University Hospital of Brooklyn-SUNY and fellowship at Baylor College of Medicine.",professor,M
5417,"_ graduated with honors in 1988. Having more than 29 years of diverse experiences, especially in CLINICAL PSYCHOLOGIST, _ _ _ affiliates with no hospital, and cooperates with other doctors and specialists in medical group Dr _ Dourlet _ Pc. Call _ _ _ on phone number (847) 604-4140 for more information and advises or to book an appointment.",psychologist,F
5418,"_ is a 2007 graduate of Harvard Law School and holds a Ph.D. in political science from Harvard University. Prior to joining the Mason Law faculty, Professor _ clerked for the Honorable Danny J. Boggs of the U.S. Court of Appeals for the Sixth Circuit and was an Olin/Searle Fellow at Yale Law School.﻿",professor,F
5419,"_ work has been exhibited in several cities across Canada and Europe including recently in Trieste for the Photo Days festival. _ most recent series in Moscow have received coverage in several art publications, including F-Stop Magazine, Adore Noir, MonoVisions, and F11 magazine. _ has been awarded by several competitions and been given honours in the International Photography Awards and by National Geographic.",photographer,M
5420,"_ is now living in Berlin. _ next book of poetry, “The Pirate Who Does Not Know the Value of Pi,” is forthcoming from the New York Review of Books in March, 2017. “The Life And Opinions Of DJ Spinoza” was first published by the Ugly Duckling Presse in New York in 2008 and quickly became a New York Poetry world classic. It reacts to the geometrical method of the Ethics of Benedict (or Baruch) Spinoza, a seventeenth-century Dutch philosopher, who sought to make _ philosophy indubitable by constructing theorems upon notions _ judged to be self-evident, after the form of Euclid’s Elements. The Odessa Review met with _ during the Lviv Book Festival where _ was presenting the newly translated Russian edition of the book.",poet,M
5421,"_ practice for many years has focused on labor negotiations, administrative hearings as well as the representation of law enforcement officers in the use of deadly force.",attorney,M
5422,"_ is owner of The Bienetre Center and is a member of AZNMA, NAPW and a professional affiliate of Arbinger Institute. 623-252-0376 or thebienetrecenter.com.",physician,F
5423,"So why did the beautiful model-turned-actress get CT scans of _ breasts? With an enviable 36-24-36 measurement, the fitness model's curvy and fit body is so impressive that it has even earned _ fifth place in a Musclemania's ""Fitness America Weekend 2014"" competition. _ _ _ is the first Korean woman to have won honors in this competition. According to recent news, there have been viewers who wondered about some shadows on _ chest underneath _ bra line, when _ appeared on a TV program. _ agency explained that it was dark body lotion that appeared to look like scars on _ body. To refute the doubters, _ _ _ even went to the hospital to get CT scans and X-rays along with a doctor's letter to show absolute proof.",model,F
5424,"_ received _ PhD in Computer Science and Engineering from the University of Washington in 2007, and _ B.A. in Applied Mathematics from Harvard University in 2001. _ research interests span all aspects of artificial intelligence, machine learning, natural language processing, and computer vision. Currently, _ research focuses primarily on integrating diverse sources of information about text -- such as structured data, manually-annotated text, and unannotated corpora -- to develop systems that understand the meaning of written language.",professor,M
5425,"_. _ practices medicine in Winnetka, IL and specializes in Adolescent Medicine and Pediatrics. _. _ is affiliated with Glenbrook Hospital, Northshore University Health System Evanston Hospital, Highland Park Hospital and Northshore University Health System Skokie Hospital. _. _ speaks English and Spanish.",physician,F
5426,"_ graduated from National University Of Health Sciences / National College Of Chiropractic and specializes in chiropractic, chiropractic sports medicine, and more.Read _ story",chiropractor,F
5427,"Dr. _’s area of expertise involves the biomechanics of human injury, with special emphasis on the areas of spine trauma and degeneration, and occupant kinematics in automobile collisions. Dr. _ has also performed research in degenerative disc disease and low back pain. _ has extensive experience in bioengineering, primarily focusing on spine-related injuries and degeneration. _ skills include in vitro biomechanical testing in human and animal specimens, in vivo imaging, and analysis in humans and project management of large-scale government research grants.",professor,F
